,index,pol,mean_sigma0,std_sigma0,mean_sigma0_dB,std_sigma0_dB
686,79591,HH,0.004589700089285366,0.0017565617746638283,-23.703981817755288,1.711786137909276
687,79591,HV,0.00012012605861780028,0.0002874893069990462,,
688,79706,HH,0.004589700089285366,0.0017565617746638283,-23.703981817755288,1.711786137909276
689,79706,HV,0.00012012605861780028,0.0002874893069990462,,
690,218,VV,0.021223014387416014,0.011844178210044416,,
691,218,VH,0.0007664134299775001,0.0009923575895866984,,
692,79592,VV,0.042434158771301016,0.022878522750089177,,
693,79592,VH,0.0010692399172959111,0.002200268027591129,,
694,79707,VV,0.042434158771301016,0.022878522750089177,,
695,79707,VH,0.0010692399172959111,0.002200268027591129,,
696,219,HH,0.26611139687900376,0.0686524212740259,-5.892519395095365,1.1207372928115067
697,219,HV,0.00011575541911590911,0.0005149631349698453,,
698,41078,HH,0.054799836609446914,0.017109933086230822,-12.827196828832188,1.3872888130532681
699,41078,HV,0.00023735115364572953,0.0003923969860297537,,
700,220,HH,0.10775737801212944,0.029306918421495458,-9.833037954254221,1.174504269210953
701,220,HV,0.0006262906873634102,0.0007219049658567623,,
702,221,HH,0.004717738311485783,0.0015139933657578935,-23.48795691161516,1.417888934860433
703,221,HV,0.00016611485369428042,0.00019578449535337185,,
704,222,VV,0.022232825446966125,0.011969490620658019,,
705,222,VH,0.0002725741285928629,0.0017416358822193057,,
706,223,VV,0.01069225520246133,0.006138692653010232,,
707,223,VH,-0.0002889039689451385,0.001182540912138423,,
708,224,HH,0.0012332805462786484,0.0005414880468106876,-29.540615241565696,2.0983987610744776
709,224,HV,-4.6378370020500475e-05,0.00016327703508528437,,
710,24328,HH,0.022469647875458718,0.005863894546017766,-16.637503035706835,1.1760967926388013
711,24328,HV,-3.228433030421863e-05,0.0006096999378562017,,
712,79597,HH,0.004917883221554349,0.001712349052033711,-23.351252972205625,1.5585023193418153
713,79597,HV,-6.548581148197149e-05,0.00016200114817785678,,
714,79712,HH,0.004917883221554349,0.001712349052033711,-23.351252972205625,1.5585023193418153
715,79712,HV,-6.548581148197149e-05,0.00016200114817785678,,
716,225,HH,0.06540211872856418,0.021294966074966296,-12.067574346437326,1.4029752794537438
717,225,HV,0.000227926842293511,0.00033821220281107035,,
718,41082,HH,0.01660572941521401,0.005463063619142247,-18.027581618586506,1.4263201556234595
719,41082,HV,0.00012363267796085413,0.00020795889481802177,,
720,226,VV,0.008966251823564416,0.004673072619683902,,
721,226,VH,0.00019656832735440882,0.0005520119626246452,,
722,227,HH,0.015418136585590882,0.00495175761474803,-18.33866944492944,1.390015366539168
723,227,HV,0.0003742957463846662,0.0003176243207003518,,
724,228,HH,0.009312337081414842,0.0029356591977469162,-20.532532012558796,1.4212212182708168
725,228,HV,0.0001588357655571232,0.00022879034939219718,,
726,24333,HH,0.0007765265172975245,0.0010393885167516892,,
727,24333,HV,-2.0592136832236885e-05,0.0002716455728125574,,
728,229,VV,0.001907552648624639,0.0017382400698466095,,
729,229,VH,-0.00014307001073822397,0.0005444714856542559,,
730,230,HH,0.017166486147200875,0.02409529106423076,-21.296309801912596,5.672836332945534
731,230,HV,-0.00024202428249780274,0.0003964049790683043,,
732,41088,HH,0.030489669928152486,0.009927078622094554,-15.394899238788152,1.4620766254172657
733,41088,HV,-7.6798713631655e-05,0.0002776861838809992,,
734,231,HH,0.10817669867570431,0.026570296321685297,-9.789551066922048,1.0731082234599152
735,231,HV,0.00075335629736639,0.0007625218003698544,,
736,232,HH,0.009890106338095813,0.003335706620772634,-20.29995124526874,1.5086172215031268
737,232,HV,0.000751176027695143,0.00039007234377775186,,
738,233,VV,0.06157156784763677,0.03350042632123736,-12.750244439456022,2.466379996439667
739,233,VH,0.002309373391649084,0.0027432784725492784,,
740,234,VV,0.023480489992467823,0.012607259904790098,,
741,234,VH,0.0001053596941406797,0.0013223963206944144,,
742,235,HH,0.009996888338032766,0.00355222833083311,-20.281652557054407,1.592505226146232
743,235,HV,0.0002656721376074906,0.0002604295913063259,,
744,24338,HH,0.05050583366731892,0.014869145613501576,-13.148736952831253,1.2629013260312272
745,24338,HV,9.399904719054401e-05,0.0006477642806417348,,
746,236,HH,0.11129631980052462,0.03954568689756331,-9.79569615104937,1.5073248957955292
747,236,HV,0.0012467303659966886,0.0007071583257542848,,
748,41092,HH,0.02114910475388979,0.007169685526689075,-17.000156364810223,1.5066252962741602
749,41092,HV,0.0005521707000468041,0.0003567316806330367,,
750,237,VV,0.034541295410940254,0.01752052081017128,-15.180648556087304,2.297699605973367
751,237,VH,0.0008377972093340029,0.0008609467634465809,,
752,238,HH,0.013310666642160407,0.004297077954583793,-18.98546878711328,1.424797367377465
753,238,HV,0.00023264849834743172,0.0002710332217622107,,
754,239,HH,0.018081958705498412,0.0054294518157648325,-17.62870688786599,1.3430167309053664
755,239,HV,0.00016774374505669563,0.00023510041982312117,,
756,24343,HH,0.01168010396675175,0.015384667639811571,-21.508779414656733,3.9162122204095837
757,24343,HV,0.0024897085706325262,0.004247997467048884,,
758,240,VV,0.013860166524928585,0.007305893253043533,,
759,240,VH,0.0004777791251906926,0.0008330398263283592,,
760,241,HH,0.28982773662393524,0.07072702363503411,-5.5122663721163665,1.0942242930583712
761,241,HV,0.00019789512503053228,0.0005264774966470923,,
762,41098,HH,0.09820020605598094,0.032050496124680174,-10.308006891714118,1.4267023107810743
763,41098,HV,0.0003627387106064545,0.0004403415789693499,,
764,242,HH,0.05527715894785496,0.014951399942071132,-12.730654851827548,1.1688496439717597
765,242,HV,0.00015159857110725488,0.0006458628871538689,,
766,243,HH,0.010825940453665013,0.0032516567936621997,-19.85538876485457,1.3420790887276168
767,243,HV,0.00029127151959864635,0.0002218566940142226,,
768,244,VV,0.020863725489126458,0.01115656732972848,,
769,244,VH,0.00031820082582032953,0.0017480878840729133,,
770,245,VV,0.029403004881953614,0.015564245493160865,,
771,245,VH,5.264417508644473e-05,0.001355017438273594,,
772,246,HH,0.004327069813403274,0.0014062758230365868,-23.872154169296994,1.4557760750930748
773,246,HV,0.00017932916695881845,0.00023184877269755884,,
774,24348,HH,0.06899573495881296,0.017484208813120457,-11.757515797345564,1.1475169929424414
775,24348,HV,0.000371868011674281,0.0006760659005820695,,
776,247,HH,0.10986613055397702,0.03221713938387132,-9.777317344658632,1.2828392971745664
777,247,HV,0.0007373465215220723,0.0004873184557935022,,
778,41102,HH,0.0096255956661169,0.003050278729483956,-20.383515332782938,1.3908391691402713
779,41102,HV,-6.460385398345485e-06,0.00017484176956461954,,
780,248,VV,0.0029268808452697016,0.0019973444921309487,,
781,248,VH,0.0001268203038880537,0.0005116623446069787,,
782,249,HH,0.005469870027256696,0.0018904759479034506,-22.885889858308065,1.5589085133203664
783,249,HV,-3.6948258542577314e-05,0.00018082243316962116,,
784,250,HH,0.010946271930629024,0.0036140513871575257,-19.842477456765767,1.4509621333659213
785,250,HV,4.557630385102992e-05,0.0001973264160340439,,
786,24353,HH,0.0008803949600364392,0.00045574253767626855,,
787,24353,HV,-2.2814461745979067e-05,0.00021036401210828754,,
788,251,VV,0.014680947728251997,0.007473769852488389,,
789,251,VH,0.00015555504191406273,0.0006746148141200866,,
790,252,HH,0.42214595691041545,0.1142782905787081,-3.909155375117604,1.21225345197957
791,252,HV,0.0005172453412464766,0.0005787285303046783,,
